Name,AGE,SOCIAL SECUIRTY,ALLERGIES,Doctor,Chickenpox (Varicella),Diphtheria.,Flu (Influenza),Hepatitis A.,Hepatitis B.,Hib (Haemophilus influenzae type b),HPV (Human Papillomavirus),Measles,Mumps,Shingles
Reuben,21,017-96-2646,Fish and shellfish Wheat,Dr. Austin,1,1,1,1,1,1,1,1,1,1
Theo,57,281-06-5509,,Dr. Gardner,1,1,0,1,1,1,1,1,1,1
Paul,37,856-23-5824,Cow's milk Latex Pollen,Dr. Boyd,1,1,0,1,1,1,1,1,1,1
Conor,21,572-70-9027,Tree Nuts Cow's milk,Dr. Gibbs,1,1,0,1,1,1,1,1,1,1
Hayden,39,845-18-0786,Soy,Dr. Vas,1,1,1,1,1,1,1,1,1,1
Lachlan,41,617-00-6291,,Dr. Graham,1,1,0,1,1,1,1,1,1,1
Ruaridh,59,362-29-2374,Pet Hair Dust Mites Mold,Dr. Cunningham,1,1,1,1,1,1,1,1,1,1
Innes,2,200-37-4655,Pollen Latex,Dr. Jimenez,1,1,1,1,1,1,1,1,1,1
Stuart,52,842-28-5656,Tree Nuts,Dr. Stevenson,1,1,1,1,1,1,1,1,1,1
Jordan,49,808-86-2710,,Dr. Strickland,1,1,0,1,0,1,1,1,0,0
Sonny,76,391-29-7911,Soy Penicillin Dust Mites,Dr. Abbott,1,1,0,1,0,1,1,1,1,0
Alan,51,565-82-1670,Wheat Dust Mites,Dr. Hawkins,1,1,0,1,0,1,1,1,1,0
Blake,79,867-78-7578,Fish and shellfish Mold Dust Mites,Dr. Garrett,1,1,0,1,0,1,1,1,0,0
Zachary,27,089-32-8440,Tree Nuts Fish and shellfish,Dr. Sharp,1,1,1,1,1,1,1,1,1,1
Cooper,25,910-98-2387,Dust Mites,Dr. Stanley,1,1,1,1,1,1,1,1,1,1
Ellis,0,724-89-9480,Latex Soy,Dr. Spencer,1,1,1,1,1,1,1,1,1,1
Caiden,55,489-19-3264,,Dr. Thornton,1,1,0,1,1,1,1,1,1,1
Fergus,56,027-16-2224,,Dr. Austin,1,1,1,1,1,1,1,1,1,1
Jakub,22,501-87-5745,Latex,Dr. Kaye,1,1,1,1,1,1,1,1,1,1
Zach,67,697-10-8378,Soy Pollen Fish and shellfish,Dr. Khan,1,1,1,1,1,1,1,1,1,1
Findlay,65,138-47-6004,,Dr. Gibbs,1,1,0,1,1,1,1,1,1,1
Alistair,53,526-07-4831,Cow's milk Tree Nuts,Dr. Palmer,1,1,1,1,1,1,1,1,1,1
Elliot,60,173-07-4062,,Dr. Black,1,1,1,1,1,1,1,1,1,1
Harley,62,753-10-3016,Tree Nuts Pollen Latex,Dr. Taylor,1,1,0,1,1,1,1,1,1,1
Anthony,23,637-86-5508,Tree Nuts Pet Hair,Dr. Mann,1,1,0,1,0,1,1,1,1,0
Callan,49,357-20-6202,Soy,Dr. NicholsonDr. Brady,1,1,1,1,1,1,1,1,1,1
Filip,6,863-33-9225,,Dr. Burns,1,1,0,1,1,1,1,1,1,1
Louie,40,304-45-9304,Cow's milk Latex,Dr. Spencer,1,1,1,1,1,1,1,1,1,1
Lyle,61,714-30-2842,,Dr. Jones,1,1,1,1,1,1,1,1,1,1
Mohammad,51,264-47-2229,Soy Latex,Dr. Fuller,1,1,1,1,1,1,1,1,1,1
Brody,75,836-05-6538,,Dr. Thornton,1,1,1,1,1,1,1,1,1,1
Cayden,11,776-48-9064,Tree Nuts Dust Mites Latex,Dr. Mann,1,1,1,1,1,1,1,1,1,1
Cian,12,825-56-6979,,Dr. Myers,1,1,1,1,1,1,1,1,1,1
Marc,59,681-45-0002,,Dr. Horton,1,1,0,1,1,1,1,1,1,1
Danny,34,184-57-1935,Latex,Dr. Taylor,1,1,1,1,1,1,1,1,1,1
Shaun,78,184-97-4499,Pet Hair Latex,Dr. Carey,1,1,1,1,1,1,1,1,1,1
Austin,56,388-40-8483,Penicillin Wheat,Dr. Cunningham,1,1,1,1,1,1,1,1,1,1
Joel,11,707-18-6343,Pollen Fish and shellfish Mold,Dr. Alvarado,1,1,1,1,1,1,1,1,1,1
Nicholas,51,249-98-2801,Latex Tree Nuts Pollen,Dr. Gibson,1,1,1,1,1,1,1,1,1,1
Rio,45,237-44-8936,Mold Soy Latex,Dr. Pham,1,1,1,1,1,1,1,1,1,1
Rocco,62,123-84-6071,Wheat,Dr. Osborne,1,1,1,1,1,1,1,1,1,1
Dean,12,586-40-3424,,Dr. Elliott,1,1,0,1,1,1,1,1,1,1
Jonathan,8,886-14-9751,Dust Mites Wheat Cow's milk,Dr. Mckenna,1,1,1,1,1,1,1,1,1,1
Carson,12,609-83-6226,,Dr. Park,1,1,1,1,1,1,1,1,1,1
Duncan,8,602-28-5605,Pet Hair,Dr. Harmon,1,1,1,1,1,1,1,1,1,1
Mitchell,10,155-51-0709,Cow's milk Pollen,Dr. Boyd,1,1,1,1,1,1,1,1,1,1
Ruairidh,73,427-21-9400,Penicillin Soy,Dr. Austin,1,1,1,1,1,1,1,1,1,1
Stephen,48,505-99-2586,,Dr. Carlson,1,1,1,1,1,1,1,1,1,1
Dominic,23,507-23-8257,,Dr. Wallace,1,1,1,1,1,1,1,1,1,1
Kerr,38,153-76-6897,,Dr. Armstrong,1,1,1,1,1,1,1,1,1,1
Edward,45,963-38-2865,Dust Mites Tree Nuts Latex,Dr. Herbert,1,1,1,1,1,1,1,1,1,1
Lloyd,73,250-76-7405,Soy Mold,Dr. Black,1,1,1,1,1,1,1,1,1,1
Mackenzie,72,443-59-9324,Latex Fish and shellfish Mold,Dr. Sherman,1,1,0,1,1,1,1,1,1,1
Martin,51,469-51-6902,Penicillin Pollen,Dr. Barnett,1,1,0,1,1,1,1,1,1,1
Ali,55,570-52-7605,Tree Nuts,Dr. Reed,1,1,1,1,1,1,1,1,1,1
Henry,72,109-76-9164,Latex,Dr. Fuller,1,1,1,1,1,1,1,1,1,1
Kevin,45,626-27-8403,Tree Nuts,Dr. Wallace,1,1,1,1,1,1,1,1,1,1
Tom,47,639-92-9570,,Dr. Brown,1,1,0,1,1,1,1,1,1,1
Alasdair,77,230-20-1618,Pollen Latex,Dr. Gibbs,1,1,1,1,1,1,1,1,1,1
Billy,69,523-04-6355,Dust Mites Penicillin,Dr. Taylor,1,1,1,1,1,1,1,1,1,1
Freddie,53,130-45-1031,Latex Mold Soy,Dr. NicholsonDr. Brady,1,1,0,1,1,1,1,1,1,1
Keir,50,672-29-1212,Pollen Fish and shellfish,Dr. Watson,1,1,0,1,1,1,1,1,1,1
Levi,14,028-71-1979,,Dr. Field,1,1,0,1,1,1,1,1,1,1
Junior,78,540-12-9905,Mold Fish and shellfish,Dr. Strickland,1,1,0,1,1,1,1,1,1,1
Allan,40,068-32-7738,,Dr. Hamilton,1,1,0,1,1,1,1,1,1,1
Campbell,15,238-33-5707,,Dr. Vas,1,1,0,1,0,0,0,0,0,0
Darren,26,235-64-9260,Soy,Dr. Boyd,1,1,0,1,1,1,1,1,1,1
Drew,29,702-78-7579,,Dr. Fuller,1,1,1,1,1,1,1,1,1,1
Oskar,79,245-59-8377,,Dr. Horton,1,1,1,1,1,1,1,1,1,1
Arron,14,249-02-5275,Latex Penicillin,Dr. Garcia,1,1,1,1,1,1,1,1,1,1
Ayden,74,385-42-5267,Fish and shellfish,Dr. Sharp,1,1,0,1,0,1,1,1,1,0
Douglas,1,026-77-2879,Mold,Dr. Hawkins,1,1,0,1,1,1,1,1,1,1
Frederick,24,233-55-5531,,Dr. Wood,1,1,0,1,1,1,1,1,1,1
Gary,42,109-65-4807,Cow's milk Fish and shellfish,Dr. Barnett,1,1,0,1,1,1,1,1,1,1
Seth,43,843-40-1481,Wheat Cow's milk,Dr. Elliott,1,1,0,1,1,1,1,1,1,1
Bruce,6,755-02-0818,Mold Tree Nuts Cow's milk,Dr. Barrett,1,1,1,1,1,1,1,1,1,1
Kaleb,60,702-40-2858,Cow's milk Latex,Dr. Alvarado,1,1,1,1,1,1,1,1,1,1
Maxwell,5,717-48-9880,,Dr. Sharp,1,1,0,1,0,1,1,1,1,0
Richard,77,372-93-3555,Fish and shellfish Soy Mold,Dr. Kaye,1,1,0,1,0,1,1,1,0,0
Rowan,53,964-82-2512,Pet Hair,Dr. Crossley,1,1,0,1,1,1,1,1,1,1
Toby,4,218-81-9873,,Dr. Black,1,1,1,1,1,1,1,1,1,1
Xander,72,951-40-0067,Cow's milk Fish and shellfish,Dr. Carrillo,1,1,0,1,1,1,1,1,1,1
Alastair,27,379-95-9571,Wheat Pollen,Dr. Joyce,1,1,0,1,1,1,1,1,1,1
Colin,73,857-01-5222,Mold Soy Latex,Dr. Jimenez,1,1,0,1,1,1,1,1,1,1
Finley,59,135-96-9564,Penicillin Latex,Dr. Burgess,1,1,1,1,1,1,1,1,1,1
Jaxon,6,656-52-5888,Latex Dust Mites,Dr. Moran,1,1,0,1,1,1,1,1,1,1
Keiran,44,947-75-5290,,Dr. Osborne,1,1,1,1,1,1,1,1,1,1
Magnus,77,254-85-8543,,Dr. Vas,1,1,1,1,1,1,1,1,1,1
Mateusz,16,786-64-4771,Latex,Dr. Mohamed,1,1,0,1,1,1,1,1,1,1
Mckenzie,17,450-70-3197,Soy Wheat,Dr. Thornton,1,1,0,1,1,1,1,1,1,1
Nathaniel,70,623-81-9214,Dust Mites Tree Nuts Fish and shellfish,Dr. Harmon,1,1,1,1,1,1,1,1,1,1
Felix,4,233-62-7000,Wheat Mold Cow's milk,Dr. Gibbs,1,1,0,1,0,1,1,1,1,0
Grant,80,166-14-7240,Mold,Dr. Patterson,1,1,0,1,1,1,1,1,1,1
Zander,38,253-10-8387,Mold Pollen,Dr. Garcia,1,1,1,1,1,1,1,1,1,1
Antoni,18,174-86-8418,Cow's milk Mold Soy,Dr. Figueroa,1,1,0,1,1,1,1,1,1,1
Curtis,58,019-68-2566,Dust Mites Latex,Dr. Spencer,1,1,1,1,1,1,1,1,1,1
Kacper,36,760-84-0055,Latex,Dr. Carlson,1,1,1,1,1,1,1,1,1,1
Layton,38,034-48-5741,,Dr. Harmon,1,1,1,1,1,1,1,1,1,1
Niall,24,664-67-4029,Cow's milk Penicillin Pet Hair,Dr. Gibbs,1,1,0,1,1,1,1,1,1,1
Travis,38,389-87-6856,Dust Mites,Dr. NicholsonDr. Brady,1,1,0,1,1,1,1,1,1,1
Tristan,50,528-35-5255,Dust Mites Pollen,Dr. Joyce,1,1,0,1,1,1,1,1,1,1
Adrian,2,313-79-2421,,Dr. Romero,1,1,0,1,1,1,1,1,1,1
Flynn,18,447-36-9828,Tree Nuts,Dr. Hamilton,1,1,0,1,1,1,1,1,1,1
Hugh,7,342-40-2150,,Dr. Armstrong,1,1,0,1,1,1,1,1,1,1
Ian,20,783-60-4733,,Dr. Graham,1,1,1,1,1,1,1,1,1,1
Kaden,28,949-05-3112,Cow's milk Pollen,Dr. Harmon,1,1,1,1,1,1,1,1,1,1
Kieron,32,092-13-4097,Penicillin Wheat,Dr. Joyce,1,1,0,1,0,1,1,1,0,0
Lochlan,75,722-54-4973,,Dr. Black,1,1,1,1,1,1,1,1,1,1
Morgan,37,093-82-2837,Mold Dust Mites,Dr. Carey,1,1,0,1,1,1,1,1,1,1
Nico,19,956-24-1645,Soy,Dr. Mckenna,1,1,0,1,0,1,1,1,0,0
Ronan,32,248-66-5930,Tree Nuts Wheat Cow's milk,Dr. Waters,1,1,0,1,1,1,1,1,1,1
Caelan,59,109-98-7185,Dust Mites Penicillin,Dr. Joyce,1,1,1,1,1,1,1,1,1,1
Christian,5,129-56-1562,Pollen Latex,Dr. NicholsonDr. Brady,1,1,1,1,1,1,1,1,1,1
Jaden,33,537-36-5377,Soy,Dr. Hamilton,1,1,1,1,1,1,1,1,1,1
Justin,16,387-55-9680,Latex Pet Hair,Dr. Leonard,1,1,0,1,1,1,1,1,1,1
Robin,44,185-79-7862,Tree Nuts Wheat Pet Hair,Dr. Cook,1,1,1,1,1,1,1,1,1,1
Eli,69,445-85-8579,,Dr. Myers,1,1,0,1,0,1,1,1,1,0
Frankie,60,378-20-3037,Fish and shellfish Tree Nuts Soy,Dr. Sims,1,1,1,1,1,1,1,1,1,1
Lauchlan,61,775-13-9880,Pet Hair,Dr. Burns,1,1,1,1,1,1,1,1,1,1
Lennox,5,795-98-0598,Wheat,Dr. Palmer,1,1,0,1,1,1,1,1,1,1
Marco,11,300-83-5514,Pet Hair Cow's milk Fish and shellfish,Dr. Williamson,1,1,1,1,1,1,1,1,1,1
Mikey,51,701-28-6273,Pollen,Dr. Gardner,1,1,0,1,1,1,1,1,1,1
Vincent,76,146-86-8427,,Dr. Figueroa,1,1,1,1,1,1,1,1,1,1
Arthur,11,253-83-9500,Pet Hair,Dr. Carlson,1,1,0,1,1,1,1,1,1,1
Aston,68,193-20-6425,Dust Mites,Dr. Elliott,1,1,1,1,1,1,1,1,1,1
Boyd,44,753-91-6915,Penicillin,Dr. Pham,1,1,1,1,1,1,1,1,1,1
Casey,78,517-76-6678,Penicillin Wheat,Dr. Terry,1,1,1,1,1,1,1,1,1,1
Dominik,52,088-60-3824,,Dr. Osborne,1,1,0,1,0,1,1,1,1,0
Iain,49,254-85-4108,Pet Hair Penicillin Dust Mites,Dr. Gardner,1,1,0,1,1,1,1,1,1,1
Jaiden,76,014-23-8346,Latex Wheat,Dr. Sherman,1,1,1,1,1,1,1,1,1,1
Jan,60,238-31-4338,Dust Mites,Dr. Dean,1,1,0,1,1,1,1,1,1,1
Keegan,47,258-79-9989,,Dr. Elliott,1,1,0,1,1,1,1,1,1,1
Mac,65,697-32-5333,Pet Hair,Dr. Sharp,1,1,0,1,0,1,1,1,0,0
Marcel,65,785-81-5608,Mold,Dr. Mckenna,1,1,1,1,1,1,1,1,1,1
Ruari,47,513-33-0209,,Dr. Barrett,1,1,1,1,1,1,1,1,1,1
Rudy,37,258-69-6306,Mold Pollen,Dr. Reed,1,1,1,1,1,1,1,1,1,1
Abdul,74,969-00-3222,Wheat,Dr. Thornton,1,1,1,1,1,1,1,1,1,1
Bradley,3,673-26-6034,Fish and shellfish Dust Mites,Dr. Carey,1,1,0,1,1,1,1,1,1,1
Cohen,10,567-68-5833,Soy,Dr. Kaye,1,1,0,1,1,1,1,1,1,1
Damian,66,654-44-0950,,Dr. Spencer,1,1,1,1,1,1,1,1,1,1
Damien,15,551-86-2972,,Dr. Palmer,1,1,0,1,1,1,1,1,1,1
Dexter,18,178-36-5187,Mold Soy Fish and shellfish,Dr. Thornton,1,1,0,1,1,1,1,1,1,1
Dillon,5,998-05-9757,,Dr. Crossley,1,1,1,1,1,1,1,1,1,1
Elliott,75,929-94-7115,Cow's milk Dust Mites Mold,Dr. Bush,1,1,1,1,1,1,1,1,1,1
Hugo,39,799-86-7389,Dust Mites Fish and shellfish,Dr. Stevenson,1,1,0,1,1,1,1,1,1,1
Leighton,57,249-13-8260,Penicillin,Dr. Wise,1,1,1,1,1,1,1,1,1,1
